Country,product1,product2,correlation,Amount_of_datapoints
Colombia,Cocoa,Lentils,-0.8449,56
Colombia,Cocoa,Milk,0.7747,52
Colombia,Cocoa,Wage,0.8911,56
Colombia,Coffee,Milk,0.9883,43
Colombia,Fish,Bananas,0.7577,56
Colombia,Fish,Fuel (diesel),0.8037,56
Colombia,Fish,Fuel (petrol-gasoline),0.7948,56
Colombia,Peas,Bananas,0.7679,56
Colombia,Peas,Fuel (diesel),0.7873,56
Colombia,Peas,Fuel (petrol-gasoline),0.7917,56
Colombia,Peas,Cheese,0.839,52
Colombia,Peas,Wage,0.7819,56
Colombia,Bananas,Fuel (diesel),0.9561,56
Colombia,Bananas,Fuel (petrol-gasoline),0.9591,56
Colombia,Bananas,Cheese,0.9597,52
Colombia,Bananas,Milk,0.7782,52
Colombia,Bananas,Wage,0.959,56
Colombia,Fuel (diesel),Fuel (petrol-gasoline),0.9967,56
Colombia,Fuel (diesel),Cheese,0.969,52
Colombia,Fuel (diesel),Milk,0.7995,52
Colombia,Fuel (diesel),Wage,0.9808,56
Colombia,Fuel (petrol-gasoline),Cheese,0.9663,52
Colombia,Fuel (petrol-gasoline),Milk,0.7795,52
Colombia,Fuel (petrol-gasoline),Wage,0.9863,56
Colombia,Cheese,Milk,0.7757,49
Colombia,Cheese,Wage,0.9687,52
Congo,Oil,Rice,0.7974,44
Congo,Groundnuts,Fish,0.8672,45
Costa Rica,Maize,Rice,0.8169,99
Democratic Republic of the Congo,Beans,Flour,0.8372,112
Democratic Republic of the Congo,Beans,Fuel (diesel),0.8718,76
Democratic Republic of the Congo,Beans,Transport (public),0.9666,77
Democratic Republic of the Congo,Maize,Flour,0.8753,111
Democratic Republic of the Congo,Maize,Transport (public),0.8301,77
Democratic Republic of the Congo,Flour,Cassava,0.7665,112
Democratic Republic of the Congo,Flour,Fuel (diesel),0.8926,76
Democratic Republic of the Congo,Flour,Transport (public),0.9357,77
Democratic Republic of the Congo,Rice,Meat,0.8751,112
Democratic Republic of the Congo,Rice,Fuel (diesel),0.9246,76
Democratic Republic of the Congo,Rice,Transport (public),0.9194,77
Democratic Republic of the Congo,Meat,Fuel (diesel),0.8991,76
Democratic Republic of the Congo,Meat,Transport (public),0.9213,77
Democratic Republic of the Congo,Fuel (diesel),Fish,0.8774,74
Democratic Republic of the Congo,Fuel (diesel),Transport (public),0.8752,73
Democratic Republic of the Congo,Fish,Transport (public),0.857,76
Djibouti,Rice,Oil,0.8604,60
Ethiopia,Sorghum,Maize,0.8892,143
Ethiopia,Sorghum,Wheat,0.8544,143
Ethiopia,Maize,Wheat,0.9048,143
Gambia,Maize,Millet,0.8278,119
Guatemala,Bread,Milk,0.9841,84
Guatemala,Bread,Potatoes,0.8929,84
Guatemala,Bread,Beans,0.8438,180
Guatemala,Bread,Eggs,0.9523,84
Guatemala,Bread,Meat,0.9562,84
Guatemala,Bread,Oil,0.9855,84
Guatemala,Bread,Sugar,0.8724,84
Guatemala,Bread,Pasta,0.9751,84
Guatemala,Bread,Tomatoes,0.8084,84
Guatemala,Bread,Cheese,0.9774,84
Guatemala,Bread,Plantains,0.9553,84
Guatemala,Bread,Coffee,0.9427,84
Guatemala,Bread,Onions,0.8023,84
Guatemala,Bread,Salt,0.9897,84
Guatemala,Bread,Rice,0.896,180
Guatemala,Bread,Bananas,0.9608,84
Guatemala,Bread,Tortilla (maize),0.9767,180
Guatemala,Bread,Maize,0.7692,167
Guatemala,Milk,Potatoes,0.9209,84
Guatemala,Milk,Eggs,0.9439,84
Guatemala,Milk,Meat,0.9587,84
Guatemala,Milk,Oil,0.9778,84
Guatemala,Milk,Sugar,0.8219,84
Guatemala,Milk,Pasta,0.9753,84
Guatemala,Milk,Tomatoes,0.8271,84
Guatemala,Milk,Cheese,0.9849,84
Guatemala,Milk,Plantains,0.9667,84
Guatemala,Milk,Coffee,0.8995,84
Guatemala,Milk,Onions,0.813,84
Guatemala,Milk,Salt,0.9804,84
Guatemala,Milk,Bananas,0.9652,84
Guatemala,Milk,Tortilla (maize),0.9862,84
Guatemala,Potatoes,Eggs,0.8989,84
Guatemala,Potatoes,Meat,0.9502,84
Guatemala,Potatoes,Oil,0.8747,84
Guatemala,Potatoes,Pasta,0.8938,84
Guatemala,Potatoes,Tomatoes,0.8424,84
Guatemala,Potatoes,Cheese,0.949,84
Guatemala,Potatoes,Plantains,0.9522,84
Guatemala,Potatoes,Onions,0.8739,84
Guatemala,Potatoes,Salt,0.9183,84
Guatemala,Potatoes,Bananas,0.9513,84
Guatemala,Potatoes,Tortilla (maize),0.8926,84
Guatemala,Beans,Rice,0.9075,180
Guatemala,Beans,Tortilla (maize),0.8,180
Guatemala,Beans,Maize,0.7573,167
Guatemala,Eggs,Meat,0.9576,84
Guatemala,Eggs,Oil,0.9442,84
Guatemala,Eggs,Sugar,0.7528,84
Guatemala,Eggs,Pasta,0.9086,84
Guatemala,Eggs,Tomatoes,0.8203,84
Guatemala,Eggs,Cheese,0.9603,84
Guatemala,Eggs,Plantains,0.9584,84
Guatemala,Eggs,Coffee,0.8383,84
Guatemala,Eggs,Onions,0.8312,84
Guatemala,Eggs,Salt,0.9691,84
Guatemala,Eggs,Bananas,0.9675,84
Guatemala,Eggs,Tortilla (maize),0.9314,84
Guatemala,Meat,Oil,0.9426,84
Guatemala,Meat,Sugar,0.7525,84
Guatemala,Meat,Pasta,0.9421,84
Guatemala,Meat,Tomatoes,0.8686,84
Guatemala,Meat,Cheese,0.9872,84
Guatemala,Meat,Plantains,0.9864,84
Guatemala,Meat,Coffee,0.8322,84
Guatemala,Meat,Onions,0.8981,84
Guatemala,Meat,Salt,0.9775,84
Guatemala,Meat,Bananas,0.9918,84
Guatemala,Meat,Tortilla (maize),0.9601,84
Guatemala,Oil,Sugar,0.8323,84
Guatemala,Oil,Pasta,0.98,84
Guatemala,Oil,Tomatoes,0.7636,84
Guatemala,Oil,Cheese,0.959,84
Guatemala,Oil,Plantains,0.938,84
Guatemala,Oil,Coffee,0.9249,84
Guatemala,Oil,Onions,0.7606,84
Guatemala,Oil,Salt,0.9709,84
Guatemala,Oil,Bananas,0.9439,84
Guatemala,Oil,Tortilla (maize),0.9763,84
Guatemala,Sugar,Pasta,0.8383,84
Guatemala,Sugar,Cheese,0.804,84
Guatemala,Sugar,Plantains,0.7514,84
Guatemala,Sugar,Coffee,0.9387,84
Guatemala,Sugar,Salt,0.8433,84
Guatemala,Sugar,Bananas,0.7598,84
Guatemala,Sugar,Tortilla (maize),0.8687,84
Guatemala,Pasta,Tomatoes,0.7863,84
Guatemala,Pasta,Cheese,0.9607,84
Guatemala,Pasta,Plantains,0.941,84
Guatemala,Pasta,Coffee,0.9186,84
Guatemala,Pasta,Onions,0.783,84
Guatemala,Pasta,Salt,0.9613,84
Guatemala,Pasta,Bananas,0.943,84
Guatemala,Pasta,Tortilla (maize),0.9798,84
Guatemala,Tomatoes,Cheese,0.8731,84
Guatemala,Tomatoes,Plantains,0.8754,84
Guatemala,Tomatoes,Onions,0.8951,84
Guatemala,Tomatoes,Salt,0.8428,84
Guatemala,Tomatoes,Bananas,0.8723,84
Guatemala,Tomatoes,Tortilla (maize),0.8341,84
Guatemala,Cheese,Plantains,0.991,84
Guatemala,Cheese,Coffee,0.8702,84
Guatemala,Cheese,Onions,0.8768,84
Guatemala,Cheese,Salt,0.989,84
Guatemala,Cheese,Bananas,0.9917,84
Guatemala,Cheese,Tortilla (maize),0.9801,84
Guatemala,Plantains,Coffee,0.8269,84
Guatemala,Plantains,Onions,0.8968,84
Guatemala,Plantains,Salt,0.976,84
Guatemala,Plantains,Bananas,0.9944,84
Guatemala,Plantains,Tortilla (maize),0.9593,84
Guatemala,Coffee,Salt,0.909,84
Guatemala,Coffee,Bananas,0.8341,84
Guatemala,Coffee,Tortilla (maize),0.9359,84
Guatemala,Onions,Salt,0.8491,84
Guatemala,Onions,Bananas,0.8963,84
Guatemala,Onions,Tortilla (maize),0.8169,84
Guatemala,Salt,Bananas,0.9805,84
Guatemala,Salt,Tortilla (maize),0.984,84
Guatemala,Rice,Tortilla (maize),0.814,180
Guatemala,Rice,Maize,0.7964,167
Guatemala,Bananas,Tortilla (maize),0.9599,84
Guatemala,Fuel (diesel),Fuel (petrol-gasoline),0.9753,83
Guinea-Bissau,Sorghum,Millet,0.7501,102
Guinea,Rice,Sugar,0.7662,60
Guinea,Rice,Meat,0.753,57
Haiti,Rice,Oil,0.9714,56
Haiti,Rice,Flour,0.8744,148
India,Rice,Sugar,0.8675,228
India,Rice,Oil,0.8221,228
India,Rice,Wheat,0.9436,279
India,Flour,Wheat,0.9749,64
India,Lentils,Tea,-0.8332,55
India,Sugar,Wheat,0.8293,228
India,Tea,Oil,0.8301,55
India,Oil,Wheat,0.8251,228
Indonesia,Rice,Meat,0.9024,129
Indonesia,Rice,Eggs,0.8713,128
Indonesia,Rice,Sugar,0.8515,129
Indonesia,Rice,Fuel (kerosene),0.8598,84
Indonesia,Wheat,Milk,0.7594,129
Indonesia,Wheat,Oil,0.8678,129
Indonesia,Wheat,Fuel (kerosene),0.8443,84
Indonesia,Meat,Eggs,0.9117,128
Indonesia,Meat,Sugar,0.7954,129
Indonesia,Meat,Fuel (kerosene),0.8747,84
Indonesia,Eggs,Milk,0.7746,128
Indonesia,Eggs,Sugar,0.7894,128
Indonesia,Eggs,Fuel (kerosene),0.9167,83
Indonesia,Milk,Oil,0.8147,129
Indonesia,Milk,Sugar,0.8015,129
Indonesia,Milk,Fuel (kerosene),0.9098,84
Indonesia,Sugar,Fuel (kerosene),0.9081,84
Iran(Islamic Republic of),Rice,Eggs,0.7874,64
Iran(Islamic Republic of),Rice,Oil,0.8265,64
Iran(Islamic Republic of),Rice,Sugar,0.9652,64
Iran(Islamic Republic of),Rice,Lentils,0.9088,64
Iran(Islamic Republic of),Eggs,Oil,0.7953,64
Iran(Islamic Republic of),Eggs,Lentils,0.7635,64
Iran(Islamic Republic of),Oil,Sugar,0.7997,64
Iran(Islamic Republic of),Oil,Lentils,0.7703,64
Iran(Islamic Republic of),Sugar,Lentils,0.9173,64
Iraq,Flour,Bread,0.9689,49
Jordan,Rice,Oil,0.8669,76
Jordan,Eggs,Apples,0.7768,59
Jordan,Meat,Milk,0.994,59
Jordan,Oil,Apples,-0.7991,59
Jordan,Sugar,Garlic,0.9999,59
Jordan,Sugar,Tomatoes,0.9998,59
Jordan,Sugar,Beans,1.0,59
Jordan,Sugar,Cucumbers,0.9999,59
Jordan,Garlic,Tomatoes,0.9997,59
Jordan,Garlic,Beans,0.9998,59
Jordan,Garlic,Cucumbers,0.9997,59
Jordan,Tomatoes,Beans,0.9998,59
Jordan,Tomatoes,Cucumbers,0.9998,59
Jordan,Beans,Cucumbers,0.9999,59
Kenya,Bread,Milk,0.7863,138
Kenya,Sorghum,Maize,0.8771,140
Kenya,Sorghum,Beans,0.7887,140
Kenya,Maize,Beans,0.8331,140
Kyrgyzstan,Bread,Eggs,0.7762,71
Kyrgyzstan,Bread,Oil,0.8077,71
Kyrgyzstan,Bread,Tea,-0.8616,56
Kyrgyzstan,Eggs,Oil,0.823,96
Kyrgyzstan,Eggs,Tea,-0.7533,56
Kyrgyzstan,Meat,Tea,-0.7889,56
Kyrgyzstan,Carrots,Onions,0.7896,56
Lebanon,Beans,Rice,0.7872,53
Lebanon,Sugar,Meat,0.8167,53
Lebanon,Sugar,Oil,0.9385,45
Lebanon,Sugar,Milk,0.7587,53
Lebanon,Sugar,Bread,0.8124,52
Lebanon,Meat,Oil,0.7817,45
Lebanon,Meat,Milk,0.9405,53
Lebanon,Meat,Bread,0.8151,52
Lebanon,Oil,Milk,0.7823,45
Lebanon,Oil,Bread,0.8597,44
Lebanon,Milk,Bread,0.7766,52
Lesotho,Flour,Bread,0.9403,94
Lesotho,Flour,Oil,0.9579,94
Lesotho,Bread,Oil,0.9426,94
Lesotho,Peas,Beans,0.7935,87
Liberia,Rice,Cassava,0.8288,90
Liberia,Cowpeas,Cassava,0.7783,59
Madagascar,Flour,Oil,0.8373,56
Madagascar,Flour,Sugar,0.9484,56
Madagascar,Oil,Sugar,0.8935,56
Mali,Maize,Sorghum,0.9079,176
Mali,Maize,Millet,0.8716,176
Mali,Maize,Rice,0.7679,176
Mali,Sorghum,Millet,0.9732,176
Mauritania,Wheat,Oil,0.8285,116
Mozambique,Rice,Oil,0.8218,177
Mozambique,Rice,Flour,0.933,77
Mozambique,Rice,Sugar,0.8046,177
Mozambique,Rice,Beans,0.854,177
Mozambique,Rice,Groundnuts,0.76,177
Mozambique,Oil,Flour,0.8945,77
Mozambique,Flour,Sugar,0.848,77
Mozambique,Sugar,Beans,0.7818,177
Mozambique,Sugar,Groundnuts,0.7781,177
Mozambique,Beans,Groundnuts,0.8373,177
Myanmar,Oil,Rice,0.9884,117
Myanmar,Oil,Chickpeas,0.9394,114
Myanmar,Oil,Salt,0.8875,117
Myanmar,Oil,Fuel (diesel),0.8298,46
Myanmar,Rice,Chickpeas,0.9336,114
Myanmar,Rice,Salt,0.9195,117
Myanmar,Chickpeas,Pulses,0.8054,67
Myanmar,Chickpeas,Salt,0.8828,114
Myanmar,Chickpeas,Garlic,0.8141,41
Nepal,Rice,Wheat,0.9729,192
Niger,Maize,Rice,0.7964,108
Niger,Maize,Sorghum,0.9621,279
Niger,Maize,Millet,0.9605,281
Niger,Maize,Beans,0.8406,209
Niger,Sorghum,Millet,0.9818,279
Niger,Sorghum,Beans,0.8651,207
Niger,Millet,Beans,0.8937,210
Nigeria,Maize,Rice,0.896,159
Nigeria,Maize,Sorghum,0.9825,159
Nigeria,Maize,Millet,0.9725,159
Nigeria,Rice,Sorghum,0.8557,159
Nigeria,Rice,Millet,0.8618,159
Nigeria,Sorghum,Millet,0.9833,159
Nigeria,Oil,Yam,0.7532,41
Pakistan,Flour,Rice,0.8151,162
Pakistan,Flour,Fuel (diesel),0.8374,45
Pakistan,Rice,Oil,0.8742,55
Pakistan,Rice,Butter,0.905,53
Pakistan,Rice,Fuel (diesel),0.8676,45
Pakistan,Oil,Butter,0.9927,53
Pakistan,Oil,Fuel (diesel),0.9368,45
Pakistan,Butter,Fuel (diesel),0.9437,45
Peru,Maize,Meat,0.9125,137
Peru,Maize,Oil,0.8145,138
Peru,Maize,Flour,0.9276,138
Peru,Meat,Oil,0.7796,139
Peru,Meat,Flour,0.8944,139
Peru,Oil,Flour,0.935,140
Philippines,Rice,Eggs,0.8573,97
Philippines,Sweet potatoes,Eggs,0.7694,96
Philippines,Meat,Fish,0.8076,97
Rwand a,Flour,Sweet potatoes,0.915,96
Rwand a,Cassava,Sweet potatoes,0.787,96
Rwand a,Potatoes,Eggplants,0.7824,71
Rwand a,Peppers (green),Spinach,0.8192,60
Rwand a,Peppers (green),Eggplants,0.8133,60
Rwand a,Spinach,Eggplants,0.8281,60
Rwand a,Eggplants,Passion fruit,0.7527,71
Senegal,Maize,Rice,0.8501,207
Senegal,Maize,Sorghum,0.8829,204
Senegal,Maize,Millet,0.882,207
Senegal,Rice,Millet,0.7653,211
Senegal,Sorghum,Millet,0.9708,208
Somalia,Rice,Oil,0.9809,59
Sri Lanka,Flour,Fuel (diesel),0.9655,48
Sri Lanka,Flour,Fuel (petrol-gasoline),0.8903,48
Sri Lanka,Fuel (diesel),Fuel (petrol-gasoline),0.8746,48
Swaziland ,Rice,Oil,0.8767,56
Swaziland ,Flour,Maize,0.8058,95
Swaziland ,Flour,Oil,0.9147,57
Swaziland ,Flour,Salt,0.7676,56
Swaziland ,Oil,Salt,0.8527,46
Swaziland ,Salt,Beans,0.8032,54
Syrian Arab Republic,Rice,Oil,0.8026,77
Syrian Arab Republic,Rice,Tea,0.9228,65
Syrian Arab Republic,Rice,Fuel (gas),0.7597,51
Syrian Arab Republic,Flour,Oil,0.8694,77
Syrian Arab Republic,Flour,Fuel (gas),0.8193,51
Syrian Arab Republic,Lentils,Tea,0.7659,65
Syrian Arab Republic,Oil,Tea,0.787,65
Syrian Arab Republic,Oil,Fuel (gas),0.8313,51
Tajikistan,Maize,Rice,0.8383,187
Tajikistan,Maize,Bread,0.7647,187
Tajikistan,Maize,Milk,0.792,161
Tajikistan,Maize,Wheat,0.9563,187
Tajikistan,Maize,Eggs,0.7861,163
Tajikistan,Maize,Oil,0.9343,187
Tajikistan,Maize,Sugar,0.7929,187
Tajikistan,Maize,Meat,0.9044,187
Tajikistan,Maize,Carrots,0.7699,187
Tajikistan,Maize,Flour,0.9219,187
Tajikistan,Maize,Salt,0.8509,187
Tajikistan,Rice,Milk,0.8824,161
Tajikistan,Rice,Wheat,0.8111,187
Tajikistan,Rice,Eggs,0.75,163
Tajikistan,Rice,Oil,0.8421,187
Tajikistan,Rice,Sugar,0.7845,187
Tajikistan,Rice,Meat,0.8753,187
Tajikistan,Rice,Flour,0.7742,187
Tajikistan,Rice,Salt,0.8775,187
Tajikistan,Bread,Wheat,0.8304,187
Tajikistan,Bread,Oil,0.7821,187
Tajikistan,Bread,Flour,0.8602,187
Tajikistan,Bread,Salt,0.7588,187
Tajikistan,Milk,Wheat,0.7651,161
Tajikistan,Milk,Eggs,0.8127,161
Tajikistan,Milk,Oil,0.8494,161
Tajikistan,Milk,Sugar,0.7827,161
Tajikistan,Milk,Meat,0.9052,161
Tajikistan,Milk,Salt,0.7702,161
Tajikistan,Potatoes,Salt,0.7602,187
Tajikistan,Wheat,Eggs,0.8116,163
Tajikistan,Wheat,Oil,0.9522,187
Tajikistan,Wheat,Meat,0.868,187
Tajikistan,Wheat,Flour,0.965,187
Tajikistan,Wheat,Salt,0.8361,187
Tajikistan,Eggs,Oil,0.8647,163
Tajikistan,Eggs,Meat,0.7559,163
Tajikistan,Eggs,Flour,0.7789,163
Tajikistan,Eggs,Salt,0.7789,163
Tajikistan,Oil,Sugar,0.7907,187
Tajikistan,Oil,Meat,0.8808,187
Tajikistan,Oil,Flour,0.9097,187
Tajikistan,Oil,Salt,0.8208,187
Tajikistan,Sugar,Meat,0.8089,187
Tajikistan,Sugar,Salt,0.7716,187
Tajikistan,Meat,Tea,0.8142,187
Tajikistan,Meat,Flour,0.8658,187
Tajikistan,Meat,Salt,0.8864,187
Tajikistan,Flour,Salt,0.8388,187
Timor-Leste,Maize,Rice,0.9452,62
Turkey,Rice,Flour,0.9065,47
Turkey,Rice,Beans,0.8704,47
Turkey,Rice,Sugar,0.8074,47
Turkey,Rice,Pasta,0.8983,47
Turkey,Rice,Bulgur,0.8652,47
Turkey,Rice,Milk,-0.8087,47
Turkey,Rice,Cocoa (powder),0.81,47
Turkey,Flour,Beans,0.8472,47
Turkey,Flour,Sugar,0.965,47
Turkey,Flour,Pasta,0.9666,47
Turkey,Flour,Bread,0.8268,47
Turkey,Flour,Coffee,0.8465,47
Turkey,Flour,Salt,0.8917,47
Turkey,Flour,Bulgur,0.9627,47
Turkey,Flour,Milk,-0.7814,47
Turkey,Flour,Cocoa (powder),0.9385,47
Turkey,Beans,Sugar,0.7939,47
Turkey,Beans,Pasta,0.7555,47
Turkey,Beans,Bread,0.8968,47
Turkey,Beans,Coffee,0.7989,47
Turkey,Beans,Oil,-0.8041,47
Turkey,Beans,Salt,0.8229,47
Turkey,Beans,Bulgur,0.8789,47
Turkey,Beans,Fish,0.8093,47
Turkey,Beans,Milk,-0.7888,47
Turkey,Beans,Cocoa (powder),0.863,47
Turkey,Meat,Bread,0.8064,47
Turkey,Meat,Coffee,0.8502,47
Turkey,Meat,Salt,0.8532,47
Turkey,Meat,Fish,0.844,47
Turkey,Sugar,Pasta,0.9382,47
Turkey,Sugar,Bread,0.7925,47
Turkey,Sugar,Coffee,0.8935,47
Turkey,Sugar,Salt,0.9145,47
Turkey,Sugar,Bulgur,0.9439,47
Turkey,Sugar,Cocoa (powder),0.9374,47
Turkey,Lentils,Oil,0.7841,47
Turkey,Lentils,Milk,0.7565,47
Turkey,Pasta,Coffee,0.7532,47
Turkey,Pasta,Salt,0.7986,47
Turkey,Pasta,Bulgur,0.9168,47
Turkey,Pasta,Milk,-0.7905,47
Turkey,Pasta,Cocoa (powder),0.8872,47
Turkey,Tomatoes,Bread,-0.7621,47
Turkey,Tomatoes,Oil,0.8429,47
Turkey,Tomatoes,Milk,0.8482,47
Turkey,Bread,Coffee,0.9049,47
Turkey,Bread,Oil,-0.855,47
Turkey,Bread,Salt,0.9221,47
Turkey,Bread,Bulgur,0.9089,47
Turkey,Bread,Fish,0.9299,47
Turkey,Bread,Milk,-0.7989,47
Turkey,Bread,Cocoa (powder),0.9205,47
Turkey,Coffee,Salt,0.979,47
Turkey,Coffee,Bulgur,0.9233,47
Turkey,Coffee,Fish,0.8766,47
Turkey,Coffee,Cocoa (powder),0.9478,47
Turkey,Oil,Milk,0.8565,47
Turkey,Oil,Cocoa (powder),-0.7547,47
Turkey,Salt,Bulgur,0.9465,47
Turkey,Salt,Fish,0.8614,47
Turkey,Salt,Cocoa (powder),0.9665,47
Turkey,Bulgur,Fish,0.808,47
Turkey,Bulgur,Milk,-0.8261,47
Turkey,Bulgur,Cocoa (powder),0.9889,47
Turkey,Fish,Cocoa (powder),0.8183,47
Turkey,Milk,Cocoa (powder),-0.822,47
Ugand a,Maize,Flour,0.7621,78
Ugand a,Millet,Flour,0.8221,78
Ukraine,Rice,Pasta,0.8736,43
Ukraine,Rice,Flour,0.8798,43
Ukraine,Rice,Fuel (diesel),0.7699,43
Ukraine,Milk,Meat,0.8333,43
Ukraine,Milk,Fuel (petrol-gasoline),0.7712,43
Ukraine,Milk,Curd,0.9532,43
Ukraine,Milk,Sour cream,0.9981,43
Ukraine,Milk,Butter,0.9885,43
Ukraine,Potatoes,Onions,0.8848,43
Ukraine,Eggs,Fat (salo),0.7795,43
Ukraine,Sugar,Meat,0.7526,43
Ukraine,Sugar,Fuel (petrol-gasoline),0.7607,43
Ukraine,Sugar,Curd,0.8321,43
Ukraine,Sugar,Sour cream,0.7502,43
Ukraine,Pasta,Meat,0.7923,43
Ukraine,Pasta,Flour,0.9672,43
Ukraine,Pasta,Fuel (diesel),0.8625,43
Ukraine,Pasta,Fuel (petrol-gasoline),0.8359,43
Ukraine,Meat,Fuel (diesel),0.9002,43
Ukraine,Meat,Fuel (petrol-gasoline),0.9372,43
Ukraine,Meat,Curd,0.9279,43
Ukraine,Meat,Sour cream,0.8299,43
Ukraine,Meat,Butter,0.7601,43
Ukraine,Meat,Bread,0.8185,43
Ukraine,Meat,Fat (salo),0.8921,43
Ukraine,Carrots,Beetroots,0.936,43
Ukraine,Flour,Fuel (diesel),0.8154,43
Ukraine,Flour,Fuel (petrol-gasoline),0.7771,43
Ukraine,Flour,Bread,0.7536,43
Ukraine,Oil,Bread,0.8354,43
Ukraine,Fuel (diesel),Fuel (petrol-gasoline),0.9862,43
Ukraine,Fuel (diesel),Curd,0.8394,43
Ukraine,Fuel (petrol-gasoline),Curd,0.8965,43
Ukraine,Fuel (petrol-gasoline),Sour cream,0.7733,43
Ukraine,Fuel (petrol-gasoline),Fat (salo),0.774,43
Ukraine,Curd,Sour cream,0.9562,43
Ukraine,Curd,Butter,0.9238,43
Ukraine,Curd,Fat (salo),0.754,43
Ukraine,Sour cream,Butter,0.9886,43
Ukraine,Bread,Fat (salo),0.7669,43
Yemen,Flour,Rice,0.8623,50
Yemen,Flour,Beans,0.7723,64
Yemen,Flour,Wheat,0.9052,87
Yemen,Flour,Lentils,0.8722,50
Yemen,Flour,Salt,0.8393,50
Yemen,Flour,Fuel (diesel),0.7724,53
Yemen,Flour,Fuel (petrol-gasoline),0.8105,53
Yemen,Rice,Beans,0.8617,50
Yemen,Rice,Sugar,0.8036,50
Yemen,Rice,Lentils,0.9413,50
Yemen,Rice,Salt,0.9265,50
Yemen,Beans,Lentils,0.9023,50
Yemen,Sugar,Lentils,0.814,50
Yemen,Lentils,Salt,0.8948,50
Yemen,Fuel (diesel),Fuel (petrol-gasoline),0.9883,53
Zambia,Rice,Groundnuts,0.795,62
Zambia,Rice,Beans,0.8435,62
Zambia,Groundnuts,Beans,0.879,64
State of Palestine,Bread,Chickpeas,0.834,42
State of Palestine,Bread,Water,0.9429,42
State of Palestine,Sugar,Tea,0.7901,42
State of Palestine,Oil,Tea,0.7731,42
State of Palestine,Chickpeas,Water,0.8435,42
State of Palestine,Tea,Labaneh,0.8116,41
Sudan,Sorghum,Millet,0.9712,178
Sudan,Millet,Wheat,0.8577,84
Egypt,Flour,Pasta,0.8432,85
South Sudan,Fuel (diesel),Fuel (petrol-gasoline),0.9275,60
South Sudan,Fuel (diesel),Flour,0.8943,50
South Sudan,Fuel (diesel),Maize,0.8428,59
South Sudan,Fuel (diesel),Beans,0.8926,59
South Sudan,Fuel (diesel),Oil,0.9218,45
South Sudan,Fuel (diesel),Groundnuts,0.8405,56
South Sudan,Fuel (diesel),Sorghum,0.9044,59
South Sudan,Fuel (diesel),Millet,0.9138,48
South Sudan,Fuel (diesel),Sesame,0.9276,54
South Sudan,Fuel (diesel),Cassava,0.8846,54
South Sudan,Fuel (petrol-gasoline),Flour,0.8028,50
