correlation,country,n,combinations
0.9690000000000001,Colombia,1,Fuel (diesel) & Cheese
0.9561,Colombia,1,Fuel (diesel) & Bananas
0.9844 & 0.9967 & 0.9753 & 0.8746 & 0.9862 & 0.9883 & 0.9275,Armenia & Colombia & Guatemala & Sri Lanka & Ukraine & Yemen & South Sudan,7,Fuel (diesel) & Fuel (petrol-gasoline)
0.8774 & 0.8037,Democratic Republic of the Congo & Colombia,2,Fuel (diesel) & Fish
0.7995,Colombia,1,Fuel (diesel) & Milk
0.8943 & 0.9419 & 0.8926 & 0.8374 & 0.9655 & 0.8154 & 0.7724,South Sudan & Colombia & Democratic Republic of the Congo & Pakistan & Sri Lanka & Ukraine & Yemen,7,Fuel (diesel) & Flour
0.9044,South Sudan,1,Fuel (diesel) & Sorghum
0.8428,South Sudan,1,Fuel (diesel) & Maize
0.9138,South Sudan,1,Fuel (diesel) & Millet
0.8405,South Sudan,1,Fuel (diesel) & Groundnuts
0.9276,South Sudan,1,Fuel (diesel) & Sesame
0.7873,Colombia,1,Fuel (diesel) & Peas
0.8846,South Sudan,1,Fuel (diesel) & Cassava
0.9464,Colombia,1,Fuel (diesel) & Cocoa
0.8752,Democratic Republic of the Congo,1,Fuel (diesel) & Transport (public)
0.9437,Pakistan,1,Fuel (diesel) & Butter
0.8394,Ukraine,1,Fuel (diesel) & Curd
0.8968 & 0.8438,Turkey & Guatemala,2,Beans & Bread
0.8373 & 0.9075 & 0.7872 & 0.8540000000000001 & 0.8704 & 0.8617 & 0.8435,Colombia & Guatemala & Lebanon & Mozambique & Turkey & Yemen & Zambia,7,Beans & Rice
0.8718 & 0.8926,Democratic Republic of the Congo & South Sudan,2,Beans & Fuel (diesel)
0.7939 & 1.0 & 0.7818,Turkey & Jordan & Mozambique,3,Beans & Sugar
0.9023,Yemen,1,Beans & Lentils
0.7555,Turkey,1,Beans & Pasta
0.9998,Jordan,1,Beans & Tomatoes
0.9084,Turkey,1,Beans & Oil
0.8140000000000001,South Sudan,1,Beans & Fuel (petrol-gasoline)
0.8093,Turkey,1,Beans & Fish
0.8966,Colombia,1,Beans & Milk
0.8111 & 0.8372 & 0.8472 & 0.7723 & 0.855,Burundi & Democratic Republic of the Congo & Turkey & Yemen & South Sudan,5,Beans & Flour
0.9999,Jordan,1,Beans & Cucumbers
0.7551 & 0.8792 & 0.7887 & 0.8651,Cameroon & South Sudan & Kenya & Niger,4,Beans & Sorghum
0.7573 & 0.8331 & 0.8406 & 0.7896,Guatemala & Kenya & Niger & South Sudan,4,Beans & Maize
0.8657 & 0.8937,South Sudan & Niger,2,Beans & Millet
0.8373 & 0.879,Mozambique & Zambia,2,Beans & Groundnuts
0.8793,South Sudan,1,Beans & Sesame
0.7935,Lesotho,1,Beans & Peas
0.843,South Sudan,1,Beans & Cassava
0.9998,Jordan,1,Beans & Garlic
0.7989,Turkey,1,Beans & Coffee
0.8229 & 0.8032,Turkey & Swaziland ,2,Beans & Salt
0.9666,Democratic Republic of the Congo,1,Beans & Transport (public)
0.8,Guatemala,1,Beans & Tortilla (maize)
0.8789,Turkey,1,Beans & Bulgur
0.863,Turkey,1,Beans & Cocoa (powder)
0.8244,South Sudan,1,Beans & Exchange rate (unofficial)
0.8929,Guatemala,1,Potatoes & Bread
0.8989,Guatemala,1,Potatoes & Eggs
0.9502,Guatemala,1,Potatoes & Meat
0.8938,Guatemala,1,Potatoes & Pasta
0.8424,Guatemala,1,Potatoes & Tomatoes
0.8747,Guatemala,1,Potatoes & Oil
0.9490000000000001,Guatemala,1,Potatoes & Cheese
0.8739 & 0.8848,Guatemala & Ukraine,2,Potatoes & Onions
0.9513,Guatemala,1,Potatoes & Bananas
0.9209,Guatemala,1,Potatoes & Milk
0.9522,Guatemala,1,Potatoes & Plantains
0.9183 & 0.7602,Guatemala & Tajikistan,2,Potatoes & Salt
0.8926,Guatemala,1,Potatoes & Tortilla (maize)
0.7824,Rwand a,1,Potatoes & Eggplants
0.9523 & 0.7762,Guatemala & Kyrgyzstan,2,Eggs & Bread
0.8116,Tajikistan,1,Eggs & Wheat
0.8713 & 0.7874 & 0.8573 & 0.75,Indonesia & Iran(Islamic Republic of) & Philippines & Tajikistan,4,Eggs & Rice
0.8989,Guatemala,1,Eggs & Potatoes
0.9576 & 0.7559 & 0.9117,Guatemala & Tajikistan & Indonesia,3,Eggs & Meat
0.7528 & 0.7894,Guatemala & Indonesia,2,Eggs & Sugar
0.7635,Iran(Islamic Republic of),1,Eggs & Lentils
0.9086,Guatemala,1,Eggs & Pasta
0.8203,Guatemala,1,Eggs & Tomatoes
0.9442 & 0.7953 & 0.823 & 0.8647,Guatemala & Iran(Islamic Republic of) & Kyrgyzstan & Tajikistan,4,Eggs & Oil
0.9603,Guatemala,1,Eggs & Cheese
0.8312,Guatemala,1,Eggs & Onions
0.9675,Guatemala,1,Eggs & Bananas
0.7768,Jordan,1,Eggs & Apples
0.7746 & 0.9439 & 0.8127,Indonesia & Guatemala & Tajikistan,3,Eggs & Milk
0.7789,Tajikistan,1,Eggs & Flour
0.9167,Indonesia,1,Eggs & Fuel (kerosene)
0.7861,Tajikistan,1,Eggs & Maize
0.7694,Philippines,1,Eggs & Sweet potatoes
0.9584,Guatemala,1,Eggs & Plantains
0.8383,Guatemala,1,Eggs & Coffee
0.9691 & 0.7789,Guatemala & Tajikistan,2,Eggs & Salt
0.9314,Guatemala,1,Eggs & Tortilla (maize)
0.7795,Ukraine,1,Eggs & Fat (salo)
0.8151 & 0.8064 & 0.8185 & 0.9562,Lebanon & Turkey & Ukraine & Guatemala,4,Meat & Bread
0.868,Tajikistan,1,Meat & Wheat
0.8751 & 0.753 & 0.9024 & 0.8753,Democratic Republic of the Congo & Guinea & Indonesia & Tajikistan,4,Meat & Rice
0.8991 & 0.9002,Democratic Republic of the Congo & Ukraine,2,Meat & Fuel (diesel)
0.9502,Guatemala,1,Meat & Potatoes
0.9117 & 0.9576 & 0.7559,Indonesia & Guatemala & Tajikistan,3,Meat & Eggs
0.7525 & 0.7954 & 0.8167 & 0.8089 & 0.7526,Guatemala & Indonesia & Lebanon & Tajikistan & Ukraine,5,Meat & Sugar
0.7916 & 0.9421 & 0.7923,Armenia & Guatemala & Ukraine,3,Meat & Pasta
0.8686,Guatemala,1,Meat & Tomatoes
0.9426 & 0.7817 & 0.7796 & 0.8808,Guatemala & Lebanon & Peru & Tajikistan,4,Meat & Oil
0.9872,Guatemala,1,Meat & Cheese
0.8981,Guatemala,1,Meat & Onions
0.9918,Guatemala,1,Meat & Bananas
0.8142,Kyrgyzstan,1,Meat & Tea
0.9372,Ukraine,1,Meat & Fuel (petrol-gasoline)
0.787 & 0.8076 & 0.8440000000000001,Armenia & Philippines & Turkey,3,Meat & Fish
0.7861,Armenia,1,Meat & Apples
0.9940000000000001 & 0.9405 & 0.9587 & 0.9052 & 0.8333,Jordan & Lebanon & Guatemala & Tajikistan & Ukraine,5,Meat & Milk
0.8944 & 0.8658,Peru & Tajikistan,2,Meat & Flour
0.8747,Indonesia,1,Meat & Fuel (kerosene)
0.9125 & 0.9044,Peru & Tajikistan,2,Meat & Maize
0.9864,Guatemala,1,Meat & Plantains
0.8322 & 0.8502,Guatemala & Turkey,2,Meat & Coffee
0.9775 & 0.8864 & 0.8532,Guatemala & Tajikistan & Turkey,3,Meat & Salt
0.9213,Democratic Republic of the Congo,1,Meat & Transport (public)
0.9601,Guatemala,1,Meat & Tortilla (maize)
0.7601,Ukraine,1,Meat & Butter
0.9279,Ukraine,1,Meat & Curd
0.8299,Ukraine,1,Meat & Sour cream
0.8921,Ukraine,1,Meat & Fat (salo)
0.8124 & 0.7925 & 0.8724,Lebanon & Turkey & Guatemala,3,Sugar & Bread
0.8293,India,1,Sugar & Wheat
0.7662 & 0.8675 & 0.8515 & 0.9652 & 0.8046 & 0.7845 & 0.8074 & 0.8036,Guinea & India & Indonesia & Iran(Islamic Republic of) & Mozambique & Tajikistan & Turkey & Yemen,8,Sugar & Rice
1.0 & 0.7818 & 0.7939,Jordan & Mozambique & Turkey,3,Sugar & Beans
0.7528 & 0.7894,Guatemala & Indonesia,2,Sugar & Eggs
0.8167 & 0.8089 & 0.7526 & 0.7525 & 0.7954,Lebanon & Tajikistan & Ukraine & Guatemala & Indonesia,5,Sugar & Meat
0.9173 & 0.8140000000000001,Iran(Islamic Republic of) & Yemen,2,Sugar & Lentils
0.8383 & 0.9382,Guatemala & Turkey,2,Sugar & Pasta
0.9998,Jordan,1,Sugar & Tomatoes
0.9385 & 0.8176 & 0.8323 & 0.7997 & 0.8935 & 0.7907,Lebanon & Armenia & Guatemala & Iran(Islamic Republic of) & Madagascar & Tajikistan,6,Sugar & Oil
0.804,Guatemala,1,Sugar & Cheese
0.7598,Guatemala,1,Sugar & Bananas
0.7901,State of Palestine,1,Sugar & Tea
0.8208 & 0.7607,Armenia & Ukraine,2,Sugar & Fuel (petrol-gasoline)
0.7587 & 0.8219 & 0.8015 & 0.7827,Lebanon & Guatemala & Indonesia & Tajikistan,4,Sugar & Milk
0.9484 & 0.848 & 0.965,Madagascar & Mozambique & Turkey,3,Sugar & Flour
0.9999,Jordan,1,Sugar & Cucumbers
0.9081,Indonesia,1,Sugar & Fuel (kerosene)
0.7929,Tajikistan,1,Sugar & Maize
0.7781,Mozambique,1,Sugar & Groundnuts
0.9999,Jordan,1,Sugar & Garlic
0.7514,Guatemala,1,Sugar & Plantains
0.9387 & 0.8935,Guatemala & Turkey,2,Sugar & Coffee
0.8433 & 0.7716 & 0.9145,Guatemala & Tajikistan & Turkey,3,Sugar & Salt
0.821,Colombia,1,Sugar & Chickpeas
0.8687,Guatemala,1,Sugar & Tortilla (maize)
0.9439,Turkey,1,Sugar & Bulgur
0.9374,Turkey,1,Sugar & Cocoa (powder)
0.8321,Ukraine,1,Sugar & Curd
0.7502,Ukraine,1,Sugar & Sour cream
0.9088 & 0.9413,Iran(Islamic Republic of) & Yemen,2,Lentils & Rice
0.9023,Yemen,1,Lentils & Beans
0.7635,Iran(Islamic Republic of),1,Lentils & Eggs
0.9173 & 0.8140000000000001,Iran(Islamic Republic of) & Yemen,2,Lentils & Sugar
0.7841 & 0.7703,Turkey & Iran(Islamic Republic of),2,Lentils & Oil
0.7659,India,1,Lentils & Tea
0.7565,Turkey,1,Lentils & Milk
0.8722,Yemen,1,Lentils & Flour
0.8948,Yemen,1,Lentils & Salt
0.9751,Guatemala,1,Pasta & Bread
0.8181 & 0.8983 & 0.8736,Armenia & Turkey & Ukraine,3,Pasta & Rice
0.8625,Ukraine,1,Pasta & Fuel (diesel)
0.7555,Turkey,1,Pasta & Beans
0.8938,Guatemala,1,Pasta & Potatoes
0.9086,Guatemala,1,Pasta & Eggs
0.7923 & 0.7916 & 0.9421,Ukraine & Armenia & Guatemala,3,Pasta & Meat
0.8383 & 0.9382,Guatemala & Turkey,2,Pasta & Sugar
0.7863,Guatemala,1,Pasta & Tomatoes
0.8536 & 0.98,Armenia & Guatemala,2,Pasta & Oil
0.9607,Guatemala,1,Pasta & Cheese
0.7829999999999999,Guatemala,1,Pasta & Onions
0.943,Guatemala,1,Pasta & Bananas
0.9022 & 0.8359,Armenia & Ukraine,2,Pasta & Fuel (petrol-gasoline)
0.9753,Turkey,1,Pasta & Milk
0.9672 & 0.8195 & 0.9666 & 0.8432,Ukraine & Armenia & Turkey & Egypt,4,Pasta & Flour
0.941,Guatemala,1,Pasta & Plantains
0.9186 & 0.7532,Guatemala & Turkey,2,Pasta & Coffee
0.9613 & 0.7986,Guatemala & Turkey,2,Pasta & Salt
0.9798,Guatemala,1,Pasta & Tortilla (maize)
0.9168,Turkey,1,Pasta & Bulgur
0.8872,Turkey,1,Pasta & Cocoa (powder)
0.8084,Turkey,1,Tomatoes & Bread
0.9998,Jordan,1,Tomatoes & Beans
0.8424,Guatemala,1,Tomatoes & Potatoes
0.8203,Guatemala,1,Tomatoes & Eggs
0.8686,Guatemala,1,Tomatoes & Meat
0.9998,Jordan,1,Tomatoes & Sugar
0.7863,Guatemala,1,Tomatoes & Pasta
0.8429 & 0.7636,Turkey & Guatemala,2,Tomatoes & Oil
0.8731,Guatemala,1,Tomatoes & Cheese
0.8951,Guatemala,1,Tomatoes & Onions
0.8723,Guatemala,1,Tomatoes & Bananas
0.8482 & 0.8271,Turkey & Guatemala,2,Tomatoes & Milk
0.8891 & 0.9998,Armenia & Jordan,2,Tomatoes & Cucumbers
0.9997,Jordan,1,Tomatoes & Garlic
0.8754,Guatemala,1,Tomatoes & Plantains
0.8428,Guatemala,1,Tomatoes & Salt
0.8341,Guatemala,1,Tomatoes & Tortilla (maize)
0.8597 & 0.8354 & 0.9855 & 0.8077 & 0.9426 & 0.7821,Lebanon & Ukraine & Guatemala & Kyrgyzstan & Lesotho & Tajikistan,6,Oil & Bread
0.8251 & 0.8678 & 0.8285 & 0.9522,India & Indonesia & Mauritania & Tajikistan,4,Oil & Wheat
0.7974 & 0.9884 & 0.8604 & 0.9714 & 0.8221 & 0.8265 & 0.8669 & 0.8218 & 0.8742 & 0.9809 & 0.8767 & 0.8026 & 0.8421,Congo & Myanmar & Djibouti & Haiti & India & Iran(Islamic Republic of) & Jordan & Mozambique & Pakistan & Somalia & Swaziland  & Syrian Arab Republic & Tajikistan,13,Oil & Rice
0.8298 & 0.9368 & 0.9218,Myanmar & Pakistan & South Sudan,3,Oil & Fuel (diesel)
0.9084,Turkey,1,Oil & Beans
0.8747,Guatemala,1,Oil & Potatoes
0.9442 & 0.7953 & 0.823 & 0.8647,Guatemala & Iran(Islamic Republic of) & Kyrgyzstan & Tajikistan,4,Oil & Eggs
0.8808 & 0.9426 & 0.7817 & 0.7796,Tajikistan & Guatemala & Lebanon & Peru,4,Oil & Meat
0.8176 & 0.8323 & 0.7997 & 0.8935 & 0.7907 & 0.9385,Armenia & Guatemala & Iran(Islamic Republic of) & Madagascar & Tajikistan & Lebanon,6,Oil & Sugar
0.7703 & 0.7841,Iran(Islamic Republic of) & Turkey,2,Oil & Lentils
0.8536 & 0.98,Armenia & Guatemala,2,Oil & Pasta
0.7636 & 0.8429,Guatemala & Turkey,2,Oil & Tomatoes
0.9590000000000001,Guatemala,1,Oil & Cheese
0.7606,Guatemala,1,Oil & Onions
0.9439,Guatemala,1,Oil & Bananas
0.787 & 0.7731 & 0.8301,Syrian Arab Republic & State of Palestine & India,3,Oil & Tea
0.8875 & 0.8301,Armenia & South Sudan,2,Oil & Fuel (petrol-gasoline)
0.7823 & 0.8565 & 0.9778 & 0.8147 & 0.8494,Lebanon & Turkey & Guatemala & Indonesia & Tajikistan,5,Oil & Milk
0.8945 & 0.935 & 0.9097 & 0.7723 & 0.9579 & 0.8373 & 0.9147 & 0.8694,Mozambique & Peru & Tajikistan & Colombia & Lesotho & Madagascar & Swaziland  & Syrian Arab Republic,8,Oil & Flour
0.9666,South Sudan,1,Oil & Sorghum
0.8145 & 0.9343 & 0.9529,Peru & Tajikistan & South Sudan,3,Oil & Maize
0.9513,South Sudan,1,Oil & Millet
0.9182,South Sudan,1,Oil & Groundnuts
0.9285,South Sudan,1,Oil & Sesame
0.8916,South Sudan,1,Oil & Cassava
0.938,Guatemala,1,Oil & Plantains
0.9249,Guatemala,1,Oil & Coffee
0.9709 & 0.8875 & 0.8527 & 0.8208,Guatemala & Myanmar & Swaziland  & Tajikistan,4,Oil & Salt
0.9394,Myanmar,1,Oil & Chickpeas
0.7532,Nigeria,1,Oil & Yam
0.9763,Guatemala,1,Oil & Tortilla (maize)
0.9927,Pakistan,1,Oil & Butter
0.8313,Syrian Arab Republic,1,Oil & Fuel (gas)
0.9214,South Sudan,1,Oil & Exchange rate (unofficial)
0.9774,Guatemala,1,Cheese & Bread
0.9687,Colombia,1,Cheese & Wage
0.9690000000000001,Colombia,1,Cheese & Fuel (diesel)
0.9490000000000001,Guatemala,1,Cheese & Potatoes
0.9603,Guatemala,1,Cheese & Eggs
0.9872,Guatemala,1,Cheese & Meat
0.804,Guatemala,1,Cheese & Sugar
0.9607,Guatemala,1,Cheese & Pasta
0.8731,Guatemala,1,Cheese & Tomatoes
0.9590000000000001,Guatemala,1,Cheese & Oil
0.8768,Guatemala,1,Cheese & Onions
0.9917 & 0.9597,Guatemala & Colombia,2,Cheese & Bananas
0.9663,Colombia,1,Cheese & Fuel (petrol-gasoline)
0.7522,Armenia,1,Cheese & Fish
0.7757 & 0.9849,Colombia & Guatemala,2,Cheese & Milk
0.8103 & 0.8867,Armenia & Colombia,2,Cheese & Flour
0.8390000000000001,Colombia,1,Cheese & Peas
0.991,Guatemala,1,Cheese & Plantains
0.9036,Colombia,1,Cheese & Cocoa
0.8702,Guatemala,1,Cheese & Coffee
0.9890000000000001,Guatemala,1,Cheese & Salt
0.9801,Guatemala,1,Cheese & Tortilla (maize)
0.7896,Kyrgyzstan,1,Carrots & Onions
0.7699,Tajikistan,1,Carrots & Maize
0.9359999999999999,Ukraine,1,Carrots & Beetroots
0.8023,Guatemala,1,Onions & Bread
0.8739 & 0.8848,Guatemala & Ukraine,2,Onions & Potatoes
0.8312,Guatemala,1,Onions & Eggs
0.8981,Guatemala,1,Onions & Meat
0.7829999999999999,Guatemala,1,Onions & Pasta
0.8951,Guatemala,1,Onions & Tomatoes
0.7606,Guatemala,1,Onions & Oil
0.8768,Guatemala,1,Onions & Cheese
0.7896,Kyrgyzstan,1,Onions & Carrots
0.8963,Guatemala,1,Onions & Bananas
0.813,Guatemala,1,Onions & Milk
0.8968,Guatemala,1,Onions & Plantains
0.8491,Guatemala,1,Onions & Salt
0.8169,Guatemala,1,Onions & Tortilla (maize)
0.9608,Guatemala,1,Bananas & Bread
0.9590000000000001,Colombia,1,Bananas & Wage
0.9561,Colombia,1,Bananas & Fuel (diesel)
0.9513,Guatemala,1,Bananas & Potatoes
0.9675,Guatemala,1,Bananas & Eggs
0.9918,Guatemala,1,Bananas & Meat
0.7598,Guatemala,1,Bananas & Sugar
0.943,Guatemala,1,Bananas & Pasta
0.8723,Guatemala,1,Bananas & Tomatoes
0.9439,Guatemala,1,Bananas & Oil
0.9597 & 0.9917,Colombia & Guatemala,2,Bananas & Cheese
0.8963,Guatemala,1,Bananas & Onions
0.9591,Colombia,1,Bananas & Fuel (petrol-gasoline)
0.7577,Colombia,1,Bananas & Fish
0.7782 & 0.9652,Colombia & Guatemala,2,Bananas & Milk
0.8846,Colombia,1,Bananas & Flour
0.7679,Colombia,1,Bananas & Peas
0.9944,Guatemala,1,Bananas & Plantains
0.8709,Colombia,1,Bananas & Cocoa
0.8341,Guatemala,1,Bananas & Coffee
0.9805,Guatemala,1,Bananas & Salt
0.9599,Guatemala,1,Bananas & Tortilla (maize)
0.9228,Syrian Arab Republic,1,Tea & Rice
0.8142,Kyrgyzstan,1,Tea & Meat
0.7901,State of Palestine,1,Tea & Sugar
0.7659,India,1,Tea & Lentils
0.8301 & 0.787 & 0.7731,India & Syrian Arab Republic & State of Palestine,3,Tea & Oil
0.8116,State of Palestine,1,Tea & Labaneh
0.9863,Colombia,1,Fuel (petrol-gasoline) & Wage
0.9844 & 0.9967 & 0.9753 & 0.8746 & 0.9862 & 0.9883 & 0.9275,Armenia & Colombia & Guatemala & Sri Lanka & Ukraine & Yemen & South Sudan,7,Fuel (petrol-gasoline) & Fuel (diesel)
0.8140000000000001,South Sudan,1,Fuel (petrol-gasoline) & Beans
0.9372,Ukraine,1,Fuel (petrol-gasoline) & Meat
0.8208 & 0.7607,Armenia & Ukraine,2,Fuel (petrol-gasoline) & Sugar
0.9022 & 0.8359,Armenia & Ukraine,2,Fuel (petrol-gasoline) & Pasta
0.8301 & 0.8875,South Sudan & Armenia,2,Fuel (petrol-gasoline) & Oil
0.9663,Colombia,1,Fuel (petrol-gasoline) & Cheese
0.9591,Colombia,1,Fuel (petrol-gasoline) & Bananas
0.7948,Colombia,1,Fuel (petrol-gasoline) & Fish
0.7795 & 0.7712,Colombia & Ukraine,2,Fuel (petrol-gasoline) & Milk
0.8028 & 0.9319 & 0.8903 & 0.7771 & 0.8105,South Sudan & Colombia & Sri Lanka & Ukraine & Yemen,5,Fuel (petrol-gasoline) & Flour
0.8213,South Sudan,1,Fuel (petrol-gasoline) & Sorghum
0.7584,South Sudan,1,Fuel (petrol-gasoline) & Maize
0.8507,South Sudan,1,Fuel (petrol-gasoline) & Millet
0.7628,South Sudan,1,Fuel (petrol-gasoline) & Groundnuts
0.8496,South Sudan,1,Fuel (petrol-gasoline) & Sesame
0.7917,Colombia,1,Fuel (petrol-gasoline) & Peas
0.7953,South Sudan,1,Fuel (petrol-gasoline) & Cassava
0.9354,Colombia,1,Fuel (petrol-gasoline) & Cocoa
0.8965,Ukraine,1,Fuel (petrol-gasoline) & Curd
0.7733,Ukraine,1,Fuel (petrol-gasoline) & Sour cream
0.774,Ukraine,1,Fuel (petrol-gasoline) & Fat (salo)
0.9299,Turkey,1,Fish & Bread
0.8037 & 0.8774,Colombia & Democratic Republic of the Congo,2,Fish & Fuel (diesel)
0.8093,Turkey,1,Fish & Beans
